id,name,longitude,latitude,live,avg,cityID,stateID
site_5269,"Deen Dayal Nagar, Sagar - MPPCB",78.80289321,23.8640158,True,43.0,Sagar,Madhya Pradesh
site_1400,"Mahakaleshwar Temple, Ujjain - MPPCB",75.768218 ,23.182719 ,True,115.0,Ujjain,Madhya Pradesh
site_5248,"Chhoti Gwaltoli, Indore - MPPCB",75.5213,22.4310,True,88.0,Indore,Madhya Pradesh
site_5250,"Gole Bazar, Katni - MPPCB",80.23284,23.50016,True,92.0,Katni,Madhya Pradesh
site_1401,"Vindhyachal STPS, Singrauli - MPPCB",82.645580,24.108970,True,271.0,Singrauli,Madhya Pradesh
site_5249,"Marhatal, Jabalpur - MPPCB",79.932247,23.168606,True,53.0,Jabalpur,Madhya Pradesh
site_5042,"Shasthri Nagar, Ratlam - IPCA Lab",75.045981,23.331731,True,177.0,Ratlam,Madhya Pradesh
site_5025,"NISE Gwal Pahari, Gurugram - IMD",77.148944,28.422681,True,142.0,Gurugram,Haryana
site_5345,"Sector-51, Gurugram - HSPCB",77.0667,28.4227,True,103.0,Gurugram,Haryana
site_5344,"Teri Gram, Gurugram - HSPCB",77.1465,28.4275,True,129.0,Gurugram,Haryana
site_146,"Vikas Sadan, Gurugram - HSPCB",77.0263051,28.4501238,True,80.0,Gurugram,Haryana
site_5044,"Municipal Corporation Office, Dharuhera -  HSPCB",76.799700,28.206800,True,62.0,Dharuhera,Haryana
site_5056,"Police Lines, Jind - HSPCB",76.337619,29.307814,False,,Jind,Haryana
site_5049,"Sector-12, Karnal - HSPCB",77.002700,29.695300,True,201.0,Karnal,Haryana
site_5051,"F-Block, Sirsa - HSPCB",75.015800,29.536400,True,132.0,Sirsa ,Haryana
site_5340,"New Industrial Town, Faridabad - HSPCB",77.30059,28.39072,False,,Faridabad,Haryana
site_5342,"Sector 11, Faridabad - HSPCB",77.315741,28.376058,False,,Faridabad,Haryana
site_5341,"Sector 30, Faridabad - HSPCB",77.3217,28.4417,False,,Faridabad,Haryana
site_263,"Sector- 16A, Faridabad - HSPCB",77.3099081,28.4088421,False,,Faridabad,Haryana
site_5057,"Urban Estate-II, Hisar - HSPCB",75.744941,29.140560,True,141.0,Hisar,Haryana
site_5052,"Patti Mehar, Ambala - HSPCB",76.778328,30.379589,False,,Ambala ,Haryana
site_5045,"Arya Nagar, Bahadurgarh - HSPCB",76.9254,28.6701,False,,Bahadurgarh ,Haryana
site_5048,"Sector-18, Panipat - HSPCB",76.993331,29.497973,True,233.0,Panipat,Haryana
site_5043,"Sector-7, Kurukshetra - HSPCB",76.875879,29.966942,True,194.0,Kurukshetra ,Haryana
site_5050,"Shyam Nagar, Palwal - HSPCB",77.3320667,28.1485564,True,119.0,Palwal ,Haryana
site_5055,"General Hospital, Mandikhera - HSPCB",76.9938,27.9002,True,93.0,Mandikhera,Haryana
site_5339,"Mini Secretariat, Charkhi Dadri - HSPCB",76.270653,28.593883,False,,Charkhi Dadri,Haryana
site_5060,"Nathu Colony, Ballabgarh - HSPCB",77.319699,28.3419248,True,111.0,Ballabgarh,Haryana
site_5072,"Rishi Nagar, Kaithal - HSPCB",76.4155,29.8006,True,147.0,Kaithal,Haryana
site_5046,"Gobind Pura, Yamuna Nagar - HSPCB",77.2893471,30.1480566,True,150.0,Yamunanagar,Haryana
site_5053,"Shastri Nagar, Narnaul - HSPCB",76.113115,28.060249,False,,Narnaul,Haryana
site_5041,"Murthal, Sonipat - HSPCB",77.062100,29.027200,True,152.0,Sonipat,Haryana
site_5039,"Sector-2 IMT, Manesar - HSPCB",76.936090,28.360699,True,119.0,Manesar ,Haryana
site_161,"Sector-6, Panchkula - HSPCB ",76.8531805555555,30.7057778,False,,Panchkula,Haryana
site_5054,"Huda Sector, Fatehabad - HSPCB",75.467934,29.503664,False,,Fatehabad ,Haryana
site_5047,"H.B. Colony, Bhiwani - HSPCB",76.141105,28.806223,True,121.0,Bhiwani,Haryana
site_147,"MD University, Rohtak - HSPCB",76.37138,28.52123,True,115.0,Rohtak,Haryana
site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",78.358528,17.540891,True,65.0,Hyderabad,Telangana
site_262,"Central University, Hyderabad - TSPCB",78.334361,17.460103,True,54.0,Hyderabad,Telangana
site_251,"ICRISAT Patancheru, Hyderabad - TSPCB",78.278777,17.518400,True,54.0,Hyderabad,Telangana
site_275,"IDA Pashamylaram, Hyderabad - TSPCB",78.218939,17.5316895,True,62.0,Hyderabad,Telangana
site_294,"Sanathnagar, Hyderabad - TSPCB",78.4332152,17.4559458,True,50.0,Hyderabad,Telangana
site_298,"Zoo Park, Hyderabad - TSPCB",78.451437,17.349694,True,81.0,Hyderabad,Telangana
site_293,"Alandur Bus Depot, Chennai - CPCB",80.1076538,12.9099161,True,5.0,Chennai,Tamil Nadu
site_5092,"Manali Village, Chennai - TNPCB",80.2584,13.1662,True,19.0,Chennai,Tamil Nadu
site_306,"Manali, Chennai - CPCB",80.26285,13.164544,True,44.0,Chennai,Tamil Nadu
site_288,"Velachery Res. Area, Chennai - CPCB",80.2398125,13.0052189,True,14.0,Chennai,Tamil Nadu
site_5094,"SIDCO Kurichi, Coimbatore - TNPCB",76.978996,10.942451,True,32.0,Coimbatore,Tamil Nadu
site_1408,"Talcher Coalfields,Talcher - OSPCB",85.1707021,20.9360711,True,43.0,Talcher,Odisha
site_1410,"GM Office, Brajrajnagar - OSPCB",83.8396977,21.8004996,False,,Brajrajnagar,Odisha
site_271,"Chandrapur, Chandrapur - MPCB",77.6345232,19.645324,True,76.0,Chandrapur,Maharashtra
site_295,"MIDC Khutala, Chandrapur - MPCB",79.2337086,19.9775302,True,82.0,Chandrapur,Maharashtra
site_303,"Opp GPO Civil Lines, Nagpur - MPCB",79.0517531,21.152875,True,34.0,Nagpur,Maharashtra
site_168,"Bandra, Mumbai - MPCB",72.84614,19.0627,False,,Mumbai,Maharashtra
site_5113,"Borivali East, Mumbai - MPCB",72.52048,19.13276,False,,Mumbai,Maharashtra
site_5107,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",72.87462,19.10078,True,86.0,Mumbai,Maharashtra
